               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 141,            0.040713,            0.052219,                   0,             0.82174,             0.72149,             0.83465,             0.50752,            0.040511,            0.071627,                   0,             0.00307,             0.00307,             0.00307
                 142,            0.041421,            0.053454,                   0,             0.80968,             0.73758,             0.83513,             0.50324,            0.041246,            0.070088,                   0,           0.0030205,           0.0030205,           0.0030205
                 143,            0.040997,             0.05449,                   0,             0.82541,             0.73571,             0.83585,             0.50777,            0.040458,            0.069023,                   0,            0.002971,            0.002971,            0.002971
                 144,            0.040774,            0.052546,                   0,              0.8324,             0.72613,             0.83599,             0.52388,            0.039928,            0.069935,                   0,           0.0029215,           0.0029215,           0.0029215
                 145,            0.039958,            0.052519,                   0,             0.84404,             0.73758,             0.83857,             0.51435,            0.040588,            0.069549,                   0,            0.002872,            0.002872,            0.002872
                 146,             0.04059,            0.053511,                   0,             0.80109,              0.7285,              0.8259,             0.51475,              0.0404,            0.072923,                   0,           0.0028225,           0.0028225,           0.0028225
                 147,            0.040168,            0.052689,                   0,              0.8469,             0.72063,             0.83769,             0.50671,            0.041035,              0.0696,                   0,            0.002773,            0.002773,            0.002773
                 148,            0.039741,            0.053152,                   0,             0.83708,             0.69353,             0.81512,             0.50814,            0.041068,            0.076136,                   0,           0.0027235,           0.0027235,           0.0027235
                 149,            0.040491,              0.0516,                   0,             0.84948,             0.71405,             0.82587,             0.50655,             0.04071,            0.070599,                   0,            0.002674,            0.002674,            0.002674
                 150,            0.040262,            0.053049,                   0,             0.82865,             0.74039,             0.84777,             0.50443,            0.040621,            0.068377,                   0,           0.0026245,           0.0026245,           0.0026245
                 151,            0.040161,             0.05199,                   0,             0.83418,             0.72727,             0.83448,             0.51583,            0.040366,            0.070163,                   0,            0.002575,            0.002575,            0.002575
                 152,            0.040572,            0.053561,                   0,             0.84161,             0.74602,              0.8488,             0.51476,             0.04026,            0.067751,                   0,           0.0025255,           0.0025255,           0.0025255
                 153,            0.040117,            0.051612,                   0,             0.86143,              0.7108,              0.8299,             0.50823,            0.040748,             0.07174,                   0,            0.002476,            0.002476,            0.002476
                 154,            0.040447,            0.053498,                   0,             0.84922,             0.72317,              0.8357,             0.50937,            0.040595,            0.071021,                   0,           0.0024265,           0.0024265,           0.0024265
                 155,            0.039874,            0.053451,                   0,             0.83497,             0.72549,             0.84067,             0.51577,            0.039905,            0.068046,                   0,            0.002377,            0.002377,            0.002377
                 156,            0.040405,            0.050982,                   0,             0.85263,             0.71509,             0.83557,             0.51194,            0.039999,             0.07131,                   0,           0.0023275,           0.0023275,           0.0023275
                 157,            0.039997,            0.050615,                   0,             0.83959,             0.72108,             0.82976,             0.51467,            0.040484,            0.070524,                   0,            0.002278,            0.002278,            0.002278
